28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28045002898902050203000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2808000301380205020300010V00009V00010V00010V00010V00010V00010V00009V00010V00010V00010V00010V00009V00009V00009V00009V00010V00011V00012V00011V00010V00009V00009V00009V
2808000307080205020300009V00009V00009V00009V00010V00011V00035V00027V00024V00023V00026V00034V00016V00013V00018V00015V00019V00056V00101V00047V00020V00012V00009V00009V
2808000308080205020300013V00010V00009V00009V00010V00018V00037V00032V00025V00020V00017V00017V00014V00012V00014V00017V00029V00053V00058V00055V00041V00020V00011V00010V
28080003064802050203000.4V000.4V000.3V000.3V000.3V000.4V000.5V000.5V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.6V000.8V000.6V000.4V000.4V000.3V000.3V
2808000310490205020300012V00012V00012V00010V00008V00007V00009V00013V00021V00020V00016V00017V00016V00017V00013V00011V00013V00027V00043V00040V00026V00016V00013V00010V
2808000314060205020300049V00053V00053V00057V00054V00040V00013V00018V00030V00035V00039V00043V00056V00062V00060V00059V00044V00014V00006V00008V00017V00036V00048V00052V
2808000382890205020300045V00046V00044V00047V00067V00068V00069V00085V00067V00067V00067V00056V00062V00062V00068V00062V00057V00041V00038V00043V00044V00060V00065V00066V
28080003818902050203002.6V002.9V003.1V003.3V002.5V002.3V002.0V002.7V003.1V003.5V004.1V003.8V004.0V004.2V003.7V002.9V002.2V001.9V002.2V002.7V003.4V003.9V004.8V004.8V
28080003838902050203006.1V005.4V004.7V004.7V004.7V004.5V004.2V004.2V005.2V006.0V007.5V009.4V011.3V012.1V012.8V013.4V013.4V012.2V011.1V009.7V008.0V006.9V006.0V005.3V
2808000386890205020300065V00067V00069V00068V00067V00068V00068V00068V00065V00062V00057V00049V00042V00039V00037V00037V00038V00040V00044V00050V00055V00062V00067V00070V
2808000387890205020300926V00926V00925V00925V00925V00925V00925V00925V00925V00925V00925V00925V00924V00923V00923V00922V00923V00923V00922V00923V00923V00923V00923V00922V
2808000388890205020300008V00008V00008V00009V00008V00009V00009V00025V00154V00295V00410V00479V00493V00456V00372V00240V00086V00012V00008V00008V00008V00008V00008V00009V
28080003898902050203000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2801300207080205020300002V00003V00002V00002V00003V00004V00009V00026V*****N00055R00020V00012V00011V00013R00011V00009R00013V00037V00048V00115V00042V00019V00010V00007V
2801300208080205020300020V00018V00010V00012V00013V00014V00017V00023V*****N00046R00027V00023V00022V00029R00028V00032R00046V00074V00079V00086V00057V00043V00038V00034V
2801300210490205020300019V00017V00011V00008V00006V00006V00006V00009V00020V00022V00074V00049V00056V00056V00059V00047V00072V00069V00080V00081V00093V00060V00052V00044V
2801300214060205020300028V00027V00035V00028V00024V00024V00017V00016V*****N00029R00046V00061V00064V00062R00070V00065R00047V00019V00017V00015V00013V00015V00015V00015V
2801300282890205020300085V00069V00062V00029V00056V00070V00034V00062V00068V00061V00096V00209V00170V00187V00226V00248V00231V00202V00214V00112V00057V00090V00073V00063V
28013002818902050203000.5V000.7V000.6V000.5V000.7V001.1V000.5V000.6V000.6V000.4V000.5V000.8V001.0V001.4V000.9V001.1V001.1V001.3V001.1V000.4V000.7V000.8V000.8V000.8V
28013002838902050203001.4V-00.1V-01.8V-02.2V-03.0V-04.0V-04.4V-04.7V-03.1V000.7V005.0V007.7V009.7V011.2V012.8V013.4V013.4V011.6V009.9V006.9V003.8V002.0V001.6V-00.1V
2801300286890205020300062V00066V00071V00073V00075V00079V00080V00081V00075V00063V00053V00045V00038V00034V00030V00029V00029V00033V00036V00045V00052V00056V00057V00063V
2801300287890205020300957V00956V00956V00956V00956V00956V00956V00956V00956V00956V00956V00955V00954V00953V00953V00952V00952V00952V00952V00952V00952V00952V00952V00952V
2801300288890205020300004V00004V00004V00004V00004V00004V00004V00015V00157V00309V00440V00515V00528V00487V00397V00260V00095V00004V00004V00004V00004V00004V00004V00004V
28013002898902050203000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205020300050V00050V00048V00054V00047V00026V00004V00003V00005V00020V00063V00064V00063V00069V00070V00067V00069V00047V00017V00027V00037V00012V00016V00022V
2802700114060205020300049V00051V00053V00056V00055V00050V00045R00028V00035V00059V00079V00089V*****N00091V00100V00100V00096V00080V00076V00070V00061V00044V00018V00026V
2806800114060205020300063R00052V00052V00053V00051V00042V00032V00020V00028V00036V*****N00059V00078V00075V00070V00067V00026V00026V00004V00001V00004V00012V00014V00019V
2813300114060205020300031V00032V00025V00020V00015V00008V00005V00004V00005V00020V00057V00076V00079V00085V00088V00089V00087V00078V00073V00068V00065V00044V00044V00041V
2806501201380205020400002V00002V00002V00002V00002V00003V00008V00013V00014V00008V00007V00008V00004V00004V00004V00003V00004V00004V00007V00007V00016V00017V00027R00027V
2806501207080205020400002V00002V00001V00002V00004V00024V00057V00129V00120V00074V00051V00042V00029V00024V00024V00019V00032V00028V00047V00053V00232V00312V00430R00495V
2806501208080205020400024V00019V00018V00024V00030V00064V00101V00109V00101V00083V00063V00053V00044V00048V00048V00040V00060V00082V00097V00103V00151V00164V00189R00193V
28065012064802050204000.3V000.3V000.3V000.4V000.4V000.7V001.0V001.3V001.1V000.7V000.6V000.6V000.5V000.6V000.6V000.7V000.7V000.8V000.9V001.0V002.7V004.0V003.6R003.9V
2806501210490205020400017V00019V00010V00012V00010V00010V00024V00035V00066V00070V00064V00069V00086V00071V00070V00065V00058V00061V00062V00070V00070V00114V00120V00135V
2806501214060205020400043V00047V00046V00038V00035V00010V00002V00002V00005V00012V00024V00027V00039V00047V00052V00063V00050V00028V00013V00006V00004V00005V00003R00003V
2806501282890205020400046V00047V00062V00045V00047V00063V00069V00069V00070V00075V00091V00129V00163V00142V00170V00129V00124V00130V00096V00187V00081V00134V00037V00098V
28065012818902050204005.0V004.7V003.4V003.2V003.5V003.5V004.1V003.1V003.5V004.0V003.6V003.1V002.9V003.0V002.4V002.3V002.4V002.1V001.6V001.0V000.9V001.0V001.0V000.8V
28065012838902050204003.2V002.8V002.1V001.6V001.3V001.0V000.7V000.6V001.3V002.4V003.7V005.0V006.0V007.7V009.5V010.2V010.2V008.8V007.5V006.9V006.9V006.4V005.3V004.2V
2806501286890205020400053V00059V00066V00072V00074V00074V00074V00077V00070V00062V00067V00061V00078V00069V00053V00042V00041V00049V00060V00065V00065V00067V00078V00090V
2806501287890205020400932V00932V00932V00932V00932V00932V00933V00933V00933V00934V00934V00933V00933V00932V00931V00931V00931V00931V00932V00932V00932V00932V00932V00932V
2806501288890205020400004V00004V00004V00004V00004V00004V00004V00004V00064V00188V00293V00353V00368V00337V00265V00169V00088V00006V00004V00004V00004V00004V00004V00004V
28065012898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050204000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.3V001.3V000.2V000.3V000.1V000.1V000.2V000.2V000.1V000.1V000.1V000.2V000.4V001.0V002.1V002.9V002.2V
28065012205902050204000.3V000.3V000.3V000.3V000.3V000.3V000.3V000.6V000.8V000.6V000.6V000.5V000.4V000.4V000.3V000.3V000.3V000.3V000.7V000.9V001.6V002.6V005.5V006.0V
28065012315902050204001.0V000.9V000.9V000.8V000.8V001.1V011.5V019.0V033.7V004.5V002.9V000.9V000.8V000.8V000.8V000.8V000.8V000.8V000.9V000.9V001.6V002.4V012.5V008.1V
2807400701380205020400004V00004V00002V00002V00002V00004V00006V00008V00009V00009V00010V00010V00009V00008V00007V00006V00005V00006V00007V00012V00020V00017V00016V00016V
2807400707080205020400001V00001V00001V00002V00004V00015V00070V00114V00100V00056V00028V00035V00021V00017V00009V00006V00005V00013V00040V00135V00370V00298V00302V00300V
2807400708080205020400007V00005V00003V00007V00015V00045V00083V00093V00087V00067V00045V00048V00036V00038V00028V00031V00036V00069V00100V00119V00173V00157V00153V00148V
28074007064802050204000.4V000.4V000.4V000.4V000.5V000.7V001.6V001.6V001.3V000.9V000.7V000.6V000.6V000.7V000.6V000.6V000.6V000.8V001.0V001.8V002.4V002.4V002.1V002.4V
2807400710490205020400012V00011V00009V00008V00009V00013V00028V00045V00057V00057V00051V00055V00068V00060V00053V00052V00051V00046V00048V00058V00080V00134V00124V00124V
2807400714060205020400051V00052V00053V00049V00044V00020V00003V00003V00006V00012V00028V00025V00037V00041V00053V00055V00058V00030V00006V00002V00002V00002V00002V00002V
2807400782890205020400046V00046V00048V00047V00047V00052V00067V00068V00068V00067V00069V00074V00163V00124V00135V00136V00130V00119V00097V00058V00165V00196V00137V00132V
28074007818902050204003.1V003.0V002.8V002.5V002.7V002.3V001.9V001.8V002.0V002.4V002.7V002.2V002.4V002.2V001.9V001.6V001.7V001.5V001.2V000.7V000.6V000.6V000.5V000.6V
28074007838902050204003.5V003.0V002.4V001.9V001.6V001.2V000.7V000.6V002.2V003.4V004.7V006.1V006.9V008.4V009.8V010.6V010.5V009.3V007.9V007.1V006.1V005.4V004.4V003.7V
2807400786890205020400058V00060V00062V00064V00064V00064V00066V00066V00060V00057V00059V00055V00058V00057V00054V00050V00050V00054V00058V00061V00065V00067V00071V00073V
2807400787890205020400931V00930V00930V00931V00930V00931V00931V00931V00932V00932V00932V00932V00931V00930V00930V00929V00929V00929V00930V00930V00930V00930V00930V00930V
2807400788890205020400004V00004V00004V00004V00004V00004V00004V00011V00112V00210V00334V00397V00414V00378V00297V00183V00088V00007V00004V00004V00004V00004V00004V00004V
28074007898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205020400019V00021V00021V00021V00018V00021V00018V00023V00025V00030V00023V00019V00015V00011V00010V00010V00007V00011V00014V00013V00021V00014V00015V00011V
2800500207080205020400006V00004V00006V00005V00016V00023V00036V00051V00051V00055V00050V00022V00008V00005V00004V00004V00003V00009V00010V00020V00215V00093V00153V00103V
2800500208080205020400042V00033V00041V00033V00040V00049V00057V00061V00056V00053V00052V00035V00019V00011V00013V00015V00026V00060V00069V00073V00122V00085V00101V00083V
28005002064802050204000.2V000.2V000.2V000.2V000.3V000.4V000.6V000.8V000.6V000.4V000.3V000.3V000.2V000.2V000.2V000.3V000.2V000.4V000.5V000.7V002.2V001.0V001.4V001.0V
2800500210490205020400021V00021V00016V00017V00022V00019V00027V00031V00041V00054V00049V00049V00050V00038V00032V00034V00038V00049V00053V00047V00046V00066V00054V00068V
2800500214060205020400011V00019V00011V00019V00015V00008V00005V00002V00008V00012V00017V00037V00061V00070V00071V00073V00061V00026V00016V00013V00002V00010V00001V00001V
2800500282890205020400096V00090V00091V00096V00085V00090V00085V00090V00090V00085V00118V00169V00208V00168V00192V00174V00169V00170V00153V00164V00178V00158V00215V00250V
28005002818902050204002.9V003.6V003.1V002.8V003.0V003.2V003.4V003.4V003.3V003.4V002.3V001.8V001.9V002.5V002.8V002.4V002.5V001.9V001.9V001.7V001.0V001.4V001.3V001.7V
28005002838902050204002.0V001.6V001.0V000.8V000.5V000.4V000.0V-00.1V000.9V002.6V005.3V008.1V010.1V011.0V011.1V011.4V010.4V009.1V007.6V007.0V006.5V006.3V004.7V003.8V
2800500286890205020400067V00069V00072V00072V00073V00072V00073V00074V00069V00063V00055V00051V00049V00049V00048V00047V00049V00054V00060V00062V00064V00064V00070V00072V
2800500287890205020400961V00961V00961V00961V00961V00961V00962V00962V00963V00963V00963V00962V00961V00961V00960V00960V00960V00960V00960V00960V00961V00961V00961V00960V
2800500288890205020400004V00004V00004V00004V00004V00004V00004V00006V00089V00206V00304V00361V00358V00354V00234V00142V00010V00004V00004V00004V00004V00004V00004V00004V
28005002898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205020400011V00020V00012V00019V00015V00008V00005V00002V00007V00011V00016V00036V00060V00069V00071V00073V00062V00026V00015V00013V00001V00009V00001V00001V
2800600401380205020400006V00006V00006V00006V00006V00006V00008V00008V00008V00008V00009V00008V00008V00009V00010V00009V00010V00012V00013V00013V00014V00018V00018V00011V
2800600407080205020400003V00003V00003V00003V00004V00005V00018V00029V00021V00016V00016V00011V00013V00012V00012V00011V00011V00026V00047V00090V00147V00209V00182V00039V
2800600408080205020400019V00016V00018V00018V00019V00028V00056V00068V00054V00043V00043V00037V00044V00049V00056V00058V00069V00101V00110V00119V00129V00128V00121V00092V
28006004064802050204000.5V000.5V000.5V000.6V000.6V000.6V000.8V001.2V001.0V000.8V000.7V000.7V000.7V000.8V000.8V000.8V000.7V000.8V000.8V001.0V001.4V001.6V001.5V000.9V
2800600410490205020400008V00005V00002V00001V00004V00005V00006V00017V00025V00025V00030V00030V00028V00042V00037V00049V00047V00065V00069V00075V00068V00121V00136V00084V
2800600414060205020400054V00057V00055V00051V00050V00045V00022V00014V00027V00036V00039V00047V00046V00047V00046V00045V00036V00012V00005V00004V00004V00005V00004V00005V
2800600482890205020400040V00035V00067V00046V00045V00044V00045V00044V00039V00052V00101V00102V00135V00163V00159V00175V00181V00165V00185V00198V00279V00198V00200V00206V
28006004818902050204003.1V003.5V003.2V002.4V002.7V002.8V003.0V003.0V003.5V003.3V002.5V002.8V002.9V003.0V002.9V002.4V002.3V002.1V002.0V001.1V000.8V001.0V000.9V001.2V
28006004838902050204001.1V000.5V000.4V-00.4V-00.7V-01.1V-01.0V-00.8V000.6V002.1V004.2V005.4V006.7V007.5V008.4V009.2V008.8V008.1V007.1V005.9V005.4V004.0V003.9V003.5V
2800600486890205020400062V00063V00062V00064V00065V00065V00065V00063V00061V00059V00058V00060V00058V00056V00055V00056V00056V00058V00061V00064V00065V00068V00069V00068V
2800600487890205020400947V00946V00946V00946V00946V00946V00947V00947V00947V00948V00948V00947V00947V00946V00945V00945V00945V00945V00946V00946V00946V00946V00946V00946V
2800600488890205020400004V00004V00004V00004V00004V00004V00004V00010V00127V00256V00366V00433V00451V00416V00336V00201V00049V00004V00004V00004V00004V00004V00004V00004V
28006004898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050204000.8V000.8V000.7V000.8V000.7V000.9V001.2V001.7V001.6V001.2V001.0V000.9V001.2V000.9V000.9V001.0V000.9V001.2V001.5V001.6V002.1V002.9V002.8V002.1V
28006004205902050204001.1V001.0V001.1V001.3V001.1V001.3V002.4V004.6V004.3V003.5V003.7V002.2V004.0V003.3V003.5V003.5V003.0V005.4V009.4V009.0V011.0V020.8V024.8V014.8V
28006004315902050204000.5V000.4V000.5V000.5V000.5V000.5V001.3V003.3V003.0V001.7V001.3V000.9V001.8V001.2V001.5V001.8V001.1V001.9V006.3V004.9V008.1V013.9V016.4V009.6V
2800600442020205020407.41V07.35V07.26V07.55V07.62V07.47V07.85V08.14V08.03V07.80V07.74V07.54V07.39V07.24V07.27V07.14V07.17V07.55V07.92V08.07V08.95V10.50V10.46V09.26V
2800600444020205020401.48V01.45V01.29V01.50V01.56V01.60V01.87V02.06V01.93V01.64V01.47V01.35V01.29V01.15V01.20V01.17V01.27V01.64V01.97V02.08V02.89V04.29V03.86V02.51V
2805800401380205020400006V00005V00005V00005V00005V00006V00010V00014V00012V00013V00012V00012V00011V00010V00009V00008V00009V00010V00012V00014V00013V00013V00011V00010V
2805800407080205020400002V00002V00001V00001V00004V00019V00054V00124V00082V00056V00038V00033V00020V00020V00012V00006V00005V00012V00050V00088V00067V00052V00052V00038V
2805800408080205020400023V00018V00017V00018V00025V00049V00075V00086V00075V00062V00061V00050V00039V00045V00042V00035V00041V00070V00096V00107V00103V00100V00097V00091V
28058004064802050204000.1V000.1V000.1V000.1V000.1V000.4V000.7V000.9V000.8V000.4V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.3V000.8V001.1V000.9V000.8V000.6V000.6V
2805800410490205020400011V00009V00007V00005V00007V00008V00020V00036V00045V00051V00051V00049V00063V00047V00053V00042V00047V00048V00062V00071V00077V00066V00066V00058V
2805800414060205020400040V00045V00044V00041V00036V00011V00001V00001V00001V00009V00020V00020V00033V00033V00043V00059V00053V00019V00001R00001V00001V00001V00001V00001V
2805800482890205020400070V00070V00078V00069V00069V00070V00090V00090V00096V00117V00131V00135V00135V00153V00159V00191V00186V00152V00130V00107V00108V00134V00130V00125V
28058004818902050204004.3V004.3V004.2V003.6V003.9V003.7V003.2V002.9V003.4V004.2V003.9V003.5V003.6V003.1V002.9V002.7V002.0V002.5V001.9V001.9V001.8V001.6V001.8V001.9V
28058004838902050204004.1V003.7V003.0V002.5V002.3V001.9V001.4V001.3V002.6V003.5V004.4V005.4V006.2V008.0V009.7V010.4V010.4V009.3V008.3V007.9V007.8V007.5V006.8V006.0V
2805800486890205020400060V00062V00065V00066V00067V00068V00069V00070V00065V00066V00065V00061V00069V00066V00058V00054V00052V00057V00061V00063V00062V00063V00063V00064V
2805800487890205020400926V00925V00925V00925V00925V00926V00926V00926V00927V00927V00927V00927V00926V00926V00925V00925V00925V00925V00925V00925V00926V00926V00925V00925V
2805800488890205020400004V00004V00004V00004V00004V00004V00004V00012V00098V00187V00292V00348V00364V00333V00267V00162V00055V00004V00004V00004V00004V00004V00004V00004V
28058004898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205020400045V00051V00050V00047V00041V00017V00002V00002V00005V00014V00025V00024V00038V00038V00048V00064V00059V00024V00003R00001V00001V00002V00002V00002V
28058004305902050204000.3V000.3V000.2V000.2V000.2V000.6V001.3V001.7V001.9V001.4V000.7V000.7V000.6V000.5V000.5V000.6V000.5V000.9V002.0V002.4V000.6V000.5V000.8V001.0V
28058004205902050204001.1V000.9V000.9V001.1V001.7V002.0V005.2V015.0V009.9V008.6V005.2V007.8V012.2V023.2V008.4V000.4V000.1V000.1V000.2V000.2V000.2V000.2V000.2V000.2V
28058004315902050204000.6V000.4V000.4V000.6V000.5V001.5V004.3V008.4V008.6V005.7V002.6V003.1V005.2V014.4V002.5V001.4V000.1V000.1V000.1V000.1V000.2V000.1V000.1V000.1V
2805800442020205020409.83V09.81V09.73V09.90V09.87V10.19V10.69V11.16V10.89V10.24V10.28V10.54V09.42V09.37V09.01V09.23V09.68V11.18V12.04V13.21V13.86V13.34V12.73V12.38V
2805800444020205020401.01V01.10V01.04V00.94V00.98V01.17V01.40V01.60V01.51V01.47V01.63V01.94V02.22V02.54V02.38V02.47V02.02V02.63V03.05V02.46V01.78V01.93V02.10V02.35V
2809200501380205020400002V00002V00002V00002V00002V00002R00006V00011V00017V00014V00007V00010V00007V00005V00005V00003V00002V00002V00019V00024V00015V00024V00015V00015V
2809200507080205020400005V00003V00004V00004V00005V00012R00035V00078V00103V00063V00039V00035V00027V00013V00013V00007V00004V00008V00048V00084V00079V00051V00058V00149V
2809200508080205020400013V00009V00010V00013V00014V00024R00037V00045V00050V00042V00034V00033V00028V00020V00024V00019V00015V00031V00063V00068V00068V00064V00062V00069V
28092005064802050204000.9V000.9V000.9V000.9V000.9V001.0R001.0V001.3V001.4V001.3V001.1V001.1V001.0V001.0V001.0V000.9V000.9V001.0V001.3V001.4V001.5V001.3V001.3V001.7V
2809200510490205020400012V00010V00009V00009V00007V00008V00011V00021V00050V00048V00051V00050V00057V00061V00043V00042V00040V00035V00047V00059V00071V00055V00058V00053V
2809200514060205020400038V00040V00037V00034V00031V*****N00001V00001V00002V00010V00019V00023V00030V00043V00045V00056V00063V00038V00002V00001V00001V00001V00001V00002V
2809200582890205020400022V00022V00030V00023V00101V00024V00023V00178V00102V00034V00056V00056V00064V00079V00112V00125V00097V00118V00074V00067V00066V00075V00072V00120V
28092005818902050204005.3V005.0V003.5V002.7V003.4V004.3V004.2V002.5V003.1V003.6V003.5V003.6V003.9V003.9V003.2V002.9V001.9V001.6V002.2V002.4V002.4V002.0V002.1V001.6V
28092005838902050204003.7V002.9V002.7V002.5V002.0V001.6V001.5V001.3V002.4V004.0V005.3V006.3V007.0V008.1V009.6V010.3V010.4V009.5V008.5V007.8V007.5V007.7V007.0V005.3V
2809200586890205020400055V00058V00059V00059V00061V00061V00061V00062V00058V00056V00055V00053V00053V00056V00050V00047V00046V00048V00054V00056V00056V00055V00056V00061V
2809200587890205020400929V00928V00928V00928V00928V00928V00929V00929V00929V00930V00930V00930V00929V00928V00928V00928V00928V00928V00928V00928V00928V00928V00928V00928V
2809200588890205020400004V00004V00004V00004V00004V00004V00004V00015V00128V00259V00396V00478V00507V00473V00385V00240V00097V00007V00004V00004V00004V00004V00004V00004V
28092005898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205020400008V00007V00005V00005V00007V00009V00011V00020V00018V00015V00013V00012V00010V00008V00009V00008V00007V00008V00011V00012V00014V00016V00015V00014V
2814800407080205020400001V00001V00001V00002V00004V00018V00036V00146V00098V00068V00040V00016V00011V00005V00003V00003V00005R00007V00023V00016V00052V00079V00132V00158V
2814800408080205020400001V00001V00001V00001V00003V00018V00025V00073V00037V00027V00019V00004V00002V00001V00001V00001V00003R00014V00041V00036V00044V00053V00054V00047V
28148004064802050204000.1V000.1V000.1V000.1V000.2V000.3V000.4V000.6V000.5V000.3V000.2V000.2V000.2V000.2V000.2V000.1V000.2R000.3V000.6V000.6V000.6V000.8V001.0V000.9V
2814800410490205020400012V00010V00008V00011V00015V00022V00025V00032V00042V00053V00053V00043V00044V00056V00048V00049V00046V00051V00061V00074V00068V00060V00064V00068V
2814800414060205020400052V00053V00050V00042V00028V00011V00006V00007V00011V00018V00032V00049V00057V00073V00074V00079V00068R00050V00013V00014V00010V00007V00006V00006V
2814800482890205020400043V00023V00038V00025V00025V00039V00025V00022V00022V00023V00046V00097V00221V00219V00169V00141V00191V00152V00102V00079V00061V00006V00224V00203V
28148004818902050204003.8V003.4V003.5V003.0V003.4V003.6V003.3V002.7V003.5V003.0V002.6V002.2V002.4V003.0V003.0V003.0V003.3V002.5V001.9V001.7V001.7V001.9V001.1V001.3V
28148004838902050204001.8V001.1V000.5V000.0V-00.3V-00.6V-00.7V-00.8V000.2V002.3V005.2V007.6V009.0V010.2V011.1V010.7V010.4V008.6V007.0V006.2V005.9V005.3V003.7V001.9V
2814800486890205020400064V00066V00068V00070V00070V00071V00071V00071V00067V00061V00054V00050V00049V00049V00048V00048V00048V00054V00058V00061V00062V00063V00068V00074V
2814800487890205020400937V00937V00936V00937V00937V00937V00937V00938V00938V00938V00938V00938V00937V00936V00936V00935V00935V00936V00936V00936V00936V00936V00936V00936V
2814800488890205020400004V00004V00004V00004V00004V00004V00004V00007V00100V00233V00348V00425V00453V00430V00370V00202V00082V00004V00004V00004V00004V00004V00004V00004V
28148004898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050204000.2V000.1V000.1V000.1V000.2V000.2V000.3V000.4V000.9V001.4V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.6V000.4V000.5V000.6V000.6V000.8V
28148004205902050204000.2V000.2V000.1V000.2V000.7V001.0V001.2V001.8V002.2V001.7V000.9V000.8V000.5V000.5V000.2V000.1V000.1V000.2V000.4V001.1V001.8V002.0V002.0V003.4V
28148004315902050204001.0V000.9V000.6V000.6V000.4V001.0V003.1V005.0V010.5V006.6V003.0V002.3V001.6V001.3V000.6V000.4V000.7V000.7V002.2V005.3V008.4V008.0V008.9V013.1V
2814800442020205020406.14V06.17V06.38V06.50V06.47V06.51V06.50V06.69V06.86V06.91V06.72V06.70V06.80V06.63V06.37V06.26V06.24R07.01V06.90V06.93V07.36V07.66V07.84V08.60V
2814800444020205020400.65V00.62V00.70V00.72V00.76V00.85V00.88V01.08V01.14V01.05V00.87V00.84V00.83V00.74V00.66V00.62V00.65R00.76V01.02V01.24V01.49V01.57V01.66V01.72V
2800700101380205020400003V00002V00002V00003V00002R00007R00010V00014R00017V00018V00019V00020V00018V00018V00010V00006V00007V00008V00014V00015V00019V00019V00015V00016V
2800700107080205020400011V00007V00008V00012V00014R00124R00169V00244R00234V00128V00093V00077V00077V00066V00038V00029V00031V00045V00155V00191V00307V00275V00216V00301V
2800700108080205020400041V00030V00033V00038V00041R00087R00108V00128R00121V00096V00080V00078V00072V00073V00064V00060V00073V00094V00128V00138V00154V00147V00129V00145V
28007001064802050204000.4V000.3V000.3V000.3V000.4R001.5R001.9V002.6R001.9V001.3V000.9V000.8V000.7V000.8V000.6V000.6V000.6V000.9V001.8V002.0V002.7V002.2V001.6V001.8V
2800700110490205020400019V00016V00014V00015V00016V00022V00038V00044V00073V00063V00064V00062V00063V00085V00069V00057V00052V00056V00059V00079V00079V00091V00088V00078V
2800700114060205020400038V00044V00040V00035V00033R00008R00008V00009R00010R00016V00022V00027V00029V00037V00046V00057V00046V00023V00009V00008V00009V00008V00008V00008V
2800700182890205020400276V00282V00265V00248V00277V00271V00259V00265V00283V00197V00164V00158V00158V00159V00141V00147V00135V00136V00141V00141V00223V00143V00256V00288V
28007001818902050204001.8V001.8V001.5V001.2V001.6V001.6V001.3V001.4V002.0V002.1V002.3V002.8V002.7V002.7V002.6V002.3V002.0V001.8V001.5V001.2V000.7V001.1V001.1V001.1V
28007001838902050204002.8V002.1V001.6V001.7V001.1V000.7V000.6V000.6V002.5V004.3V005.7V006.4V007.5V008.6V009.9V010.6V010.1V009.2V008.2V007.5V006.8V007.2V006.5V005.3V
2800700186890205020400062V00065V00067V00066V00068V00069V00069V00069V00062V00059V00056V00057V00054V00056V00053V00050V00052V00054V00059V00061V00064V00062V00062V00066V
2800700187890205020400924V00923V00923V00923V00923V00923V00924V00924V00924V00925V00925V00924V00924V00923V00923V00922V00923V00923V00923V00923V00923V00923V00923V00923V
2800700188890205020400004V00004V00004V00004V00004V00004V00004V00004V00074V00161V00269V00337V00368V00357V00295V00183V00042V00004V00004V00004V00004V00004V00004V00004V
28007001898902050204000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205020400006V00005V00006V00006V00005V00007V00008V00010V00011V00010V00010V00010V00010V00009V00008V00008V00009V00012V00012V00013V00018V00019V00015V00015V
2804900107080205020400003V00001V00001V00001V00001V00009V00031V00056V00060V00036V00036V00026V00017V00011V00010V00010V00034V00093V00090V00116V00224V00243V00143V00148V
