28  
Consejería de Medio Ambiente Comunidad de Madrid.                               
Princesa,3 planta 9                                                             
28001 Madrid                                                                    
0271
28065012Getafe (nº 1)                                                         16
01Anhídrido Sulfuroso        µg/m3     38Fluorescencia ultravioleta 266200000003
28013002898902050304000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2812300114060205030400044V00045V00045V00048V00051V00053V00044V00039V00046V00062V00070V00075V00080V00082V00086V00090V00091V00089V00077V00070V00067V00073V00064V00061V
2802700114060205030400085V00091V00097V00095V00096V00095V00091V00093V00094V00095V00094R00094V00100V00105V00111V00115V00113V00109V00106V00105V00105V00106V00107V00108V
2806800114060205030400091V00095V00098V00098V00098R00097V00084V00086V00097V00101V00102V00101V00103V00105V00113V00118V00116V00114V00111V00107V00106V00103V00103V00103V
2813300114060205030400059V00050V00069V00079V00082V00080V00075V00072V00082V00090V00093V00092V00095V00096V00103V00107V00108V00102V00101V00097V00097V00097V00095V00095V
2806501201380205030500004V00003R00007V00005V00004V00004V00005V00009V00008V00004V00005V00003V00003V00003V00003V00003V00003V00003V00004V00005V00005V00005V00005V00004V
2806501207080205030500014V00010R00069V00019V00011V00028V00042V00095V00061V00021V00032V00019V00020V00018V00013V00014V00010V00006V00009V00010V00007V00007V00003V00003V
2806501208080205030500051V00057R00095V00078V00065V00074V00076V00099V00071V00040V00047V00035V00032V00032V00024V00037V00037V00031V00050V00052V00043V00040V00021V00028V
28065012064802050305000.7V000.6R000.9V000.6V000.6V000.9V000.9V001.1V001.1V000.6V000.7V000.6V000.6V000.5V000.5V000.6V000.5V000.4V000.5V000.6V000.5V000.4V000.3V000.4V
2806501210490205030500021V00020V00020V00035V00023V00025V00028V00036V00051V00057V00030V00034V00022V00017V00020V00015V00020V00018V00021V00026V00021V00026V00020V00014V
2806501214060205030500037V00029R00003V00007V00012V00005V00008V00005V00018V00048V00052V00064V00064V00068V00071V00061V00059V00060V00040V00037V00043V00042V*****N00048V
2806501282890205030500101V00153V00192V00214V00197V00253V00236V00203V00187V00293V00258V00326V00320V00330V00258V00322V00315V00315V00282V00293V00283V00288V00299V00308V
28065012818902050305002.2V001.7V001.9V002.3V002.0V001.7V002.2V001.8V002.3V003.5V005.4V006.0V005.1V006.5V006.5V004.9V004.6V004.9V003.5V003.8V003.6V003.6V004.1V003.8V
28065012838902050305002.6V002.3V001.8V001.1V000.6V000.4V000.2V001.9V004.3V008.1V009.8V011.5V012.9V013.8V014.0V013.2V013.1V012.7V011.7V010.7V010.4V009.8V009.6V008.6V
2806501286890205030500048V00048V00050V00054V00057V00059V00061V00059V00054V00045V00045V00044V00041V00039V00038V00041V00042V00044V00048V00051V00055V00058V00056V00057V
2806501287890205030500926V00927V00926V00926V00926V00926V00926V00927V00927V00927V00927V00927V00926V00925V00925V00925V00924V00924V00924V00924V00924V00925V00924V00924V
2806501288890205030500004V00004V00004V00004V00004V00004V00004V00055V00224V00368V00476V00548V00535V00541V00393V00081V00062V00009V00004V00004V00004V00004V00004V00004V
28065012898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28065012305902050305000.2V000.3V000.6V000.3V000.3V000.2V000.8V000.6V001.1V000.4V000.4V000.3V000.2V000.3V000.2V000.1V000.2V000.1V000.1V000.2V000.2V000.2V000.1V000.1V
28065012205902050305001.1V001.4V003.0V003.0V003.2V002.3V004.1V004.7V007.5V002.5V001.7V001.2V000.6V001.8V000.5V000.5V000.5V000.4V000.5V000.6V000.6V000.6V000.5V000.3V
28065012315902050305028.3V023.1V002.3V001.6V001.4V001.0V001.9V002.2V003.2V001.3V001.2V001.0V000.8V001.7V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V000.8V
2807400701380205030500003V00003V00003V00003V00002V00005V00006V00006V00008V00006V00005V00003V00002V00002V00002V00002V00002V00002V00003V00005V00006V00005V00003V00003V
2807400707080205030500018V00024V00032V00015V00032V00098V00094V00081V00088V00025V00017V00006V00008V00004V00003V00004V00007V00007V00008V00009V00007V00006V00011V00010V
2807400708080205030500057V00064V00070V00063V00062V00083V00078V00084V00082V00037V00021V00006V00009V00003V00003V00006V00010V00017V00029V00031V00025V00025V00031V00027V
28074007064802050305000.6V000.9V000.7V000.7V000.7V001.1V001.2V001.1V001.0V000.6V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.5V000.5V000.5V000.5V000.5V000.5V000.5V
2807400710490205030500015V00018V00028V00029V00021V00026V00039V00061V00057V00046V00035V00023V00020V00021V00025V00020V00022V00019V00018V00020V00018V00021V00030V00018V
2807400714060205030500025V00011V00008V00016V00007V00005V00003V00009V00016V00048V00063V00075V00076V00081V00083V00077V00072V00062V00050V00049V00053V00048V00042V00041V
2807400782890205030500164V00248V00218V00231V00152V00143V00115V00164V00056V00232V00242V00314V00315V00315V00320V00315V00308V00294V00283V00292V00287V00277V00265V00295V
28074007818902050305001.3V001.3V001.3V001.5V000.8V000.9V000.9V001.5V001.1V002.4V004.6V005.5V004.7V006.1V006.0V004.8V004.5V003.4V002.7V003.7V004.0V002.9V002.6V002.9V
28074007838902050305-00.9V-02.1V-02.0V-01.7V-03.2V-02.9V-03.7V-01.1V002.0V004.9V006.8V008.5V010.0V010.6V011.2V010.7V010.1V010.0V008.7V008.4V008.1V007.3V006.1V005.4V
2807400786890205030500047V00051V00051V00050V00058V00057V00062V00056V00049V00043V00043V00042V00038V00036V00035V00037V00040V00041V00045V00046V00051V00055V00057V00056V
2807400787890205030500925V00925V00925V00924V00924V00924V00924V00925V00925V00925V00925V00925V00924V00923V00923V00923V00922V00922V00922V00922V00922V00923V00923V00923V
2807400788890205030500004V00004V00004V00004V00004V00004V00004V00094V00265V00424V00543V00613V00567V00593V00504V00229V00100V00027V00004V00004V00004V00004V00004V00004V
28074007898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500201380205030500006V00006V00007V00009V00009V00007V00011V00012V00013V00009V00007V00007V00012V00006V00003V00003V00006V00005V00005V00005V00007V00009V00009V00006V
2800500207080205030500016V00022V00018V00022V00052V00039V00095V00045V00030V00019V00010V00016V00022V00012V00010V00008V00007V00009V00016V00016V00019V00051V00023V00026V
2800500208080205030500050V00061V00054V00052V00064V00054V00063V00053V00043V00030V00016V00027V00043V00020V00011V00009V00011V00034V00042V00046V00052V00071V00057V00060V
28005002064802050305001.0V001.0V001.0V001.0V001.2V001.3V001.8V001.5V001.1V001.0V001.0V001.0V001.1V000.8V000.7V000.8V000.9V000.9V001.1V001.0V001.2V001.3V001.1V001.4V
2800500210490205030500063V00022V00023V00024V00027V00038V00033V00048V00043V00041V00026V00025V00029V00031V00015V00009V00009V00021V00026V00018V00023V00020V00030V00021V
2800500214060205030500018V00008V00009V00007V00005V00004V00002V00009V00024V00046V00062V00059V00052V00067V00075V00075V00071V00047V00037V00032V00030V00016V00022V00016V
2800500282890205030500248V00162V00169V00204V00164V00237V00158V00152V00226V00231V00282V00282V00276V00321V00332V00247V00300V00293V00299V00298V00288V00169V00130V00170V
28005002818902050305001.7V001.0V001.8V001.5V001.5V002.0V001.2V001.4V001.6V001.9V004.2V003.6V003.3V004.3V004.8V004.8V005.5V004.4V003.8V003.0V002.8V001.8V001.5V001.4V
28005002838902050305-02.0V-02.3V-02.6V-03.3V-03.4V-04.0V-04.4V-02.4V000.2V003.5V004.7V007.0V009.7V010.6V010.9V011.5V011.2V010.8V009.9V008.8V008.4V008.2V007.3V006.2V
2800500286890205030500059V00059V00062V00066V00066V00069V00071V00063V00052V00039V00039V00035V00032V00033V00033V00032V00035V00037V00040V00044V00046V00044V00044V00049V
2800500287890205030500955V00955V00955V00955V00955V00955V00956V00956V00956V00956V00956V00955V00954V00953V00953V00953V00952V00952V00952V00952V00952V00953V00953V00953V
2800500288890205030500004V00004V00004V00004V00004V00004V00004V00077V00247V00393V00496V00562V00554V00294V00178V00263V00100V00015V00004V00004V00004V00004V00004V00004V
28005002898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2800500214080205030500016V00007V00008V00007V00004V00004V00001V00008V00021V00042V00058V00054V00046V00063V00069V00070V00066V00044V00034V00030V00030V00015V00019V00014V
2800600401380205030500007V00006V00007V00007V00015V00012V00011V00013V00015V00016V00013V00010V00008V00007V00007V00008V00007V00007V00008V00008V00008V00008V00008V00007V
2800600407080205030500005V00004V00004V00007V00021V00058V00037V00088V00060V00066V00044V00013V00004V00004V00004V00004V00004V00004V00004V00005V00004V00004V00005V00006V
2800600408080205030500041V00032V00052V00073V00081V00088V00084V00092V00084V00081V00084V00044V00018V00015V00013V00015V00018V00018V00022V00031V00041V00043V00046V00045V
28006004064802050305000.9V000.8V000.8V000.9V001.1V001.1V001.2V001.4V001.3V001.3V001.2V001.0V001.0V001.0V001.0V001.0V001.0V000.9V000.7V000.7V000.8V000.8V000.8V000.8V
2800600410490205030500008V00014V00017V00018V00023V00033V00048V00039V00054V00044V00049V00044V00010V00004V00005V00008V00011V00009V00009V00008V00017V00013V00019V00024V
2800600414060205030500055V00058V00033V00011V00008V00007V00007V00009V00019V00019R00031R00065V00089V00092V00093V00087V00084V00082V00073V00062V00051V00049V00041V00041V
2800600482890205030500056V00276V00254V00231V00196V00267V00181V00158V00124V00119V00170V00287V00272V00287V00305V00265V00288V00283V00270V00277V00294V00282V00249V00276V
28006004818902050305002.2V001.8V001.6V001.8V001.2V001.0V001.5V001.8V001.7V001.9V002.3V003.2V004.2V004.6V005.4V004.3V004.3V004.1V004.1V003.4V002.2V002.0V001.7V002.2V
28006004838902050305-02.6V-04.0V-04.2V-04.3V-04.2V-04.6V-04.7V-03.8V-00.2V001.1V004.0V007.1V009.0V009.4V009.5V009.0V009.6V009.4V007.7V007.0V006.5V006.3V004.5V003.7V
2800600486890205030500053V00055V00059V00059V00059V00061V00061V00061V00056V00055V00050V00050V00049V00048V00047V00051V00050V00050V00054V00057V00058V00057V00062V00061V
2800600487890205030500940V00940V00940V00940V00940V00940V00940V00941V00941V00941V00941V00940V00940V00939V00939V00939V00938V00938V00938V00938V00938V00939V00938V00938V
2800600488890205030500004V00004V00004V00004V00004V00004V00004V00085V00267V00402V00550V00646V00642V00354V00179V00083V00161V00068V00004V00004V00004V00004V00004V00004V
28006004898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28006004305902050305001.1V001.0V001.0V001.2V001.3V001.4V001.5V001.5V001.5V001.8V001.4V001.3V000.9V000.9V000.8V000.8V000.8V000.8V000.9V000.9V001.0V001.0V001.1V001.0V
28006004205902050305001.7V001.5V002.5V005.4V005.3V010.9V008.7V009.1V005.9V006.1V004.7V003.9V001.4V001.1V000.8V000.8V001.0V001.1V002.0V001.4V001.6V001.7V002.3V003.0V
28006004315902050305000.9V000.8V001.1V002.9V002.5V005.1V004.5V005.1V003.6V003.6V002.7V002.4V000.7V000.6V000.4V000.4V000.4V000.4V000.8V000.7V000.9V000.7V001.1V001.3V
2800600442020205030507.58V08.03V08.50V09.07V09.07V09.74V08.49V08.83V08.52V09.16R08.31V07.85V07.89V07.82V07.85V07.78V07.82V07.74V07.70V07.78V07.86V07.94V08.00V08.04V
2800600444020205030502.20V02.56V02.98V03.51V03.48V03.98V03.01V03.18V02.84V03.04R02.51V02.29V02.34V02.24V02.29V02.26V02.35V02.38V02.41V02.48V02.57V02.62V02.69V02.79V
2805800401380205030500006V00007V00006V00005V00005V00005V00004V00005V00004V00006V00008V00007V00006V00005V00005V00008V00007V00007V00007V00007V00008V00006V00006R00006V
2805800407080205030500005V00003V00008V00001V00002V00004V00005V00002V00006V00006V00008V00005V00005V00004V00003V00003V00003V00002V00002V00003V00002V00002V00002R00001V
2805800408080205030500071V00058V00052V00030V00033V00036V00039V00022V00024V00022V00021V00021V00020V00020V00020V00027V00022V00028V00033V00035V00032V00023V00024R00018V
28058004064802050305000.5V000.3V000.3V000.2V000.2V000.3V000.3V000.2V000.2V000.2V000.2V000.3V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2V000.2R000.1V
2805800410490205030500018V00022V00014V00020V00010V00026V00013V00015V00021V00014V00017V00007V00006V00006V00006V00004V00006V00009V00011V00013V00020V00012V00013V00014V
2805800414060205030500012V00027V00025V00039V00037V00039V00040V00061V00056V00064V00071V00075V00078V00079V00079V00070V00073V00064V00054V00050V00052V00059V00053R00056R
2805800482890205030500154V00114V00244V00237V00237V00243V00260V00292V00286V00249V00220V00158V00276V00226V00203V00310V00220V00219V00265V00281V00271V00254V00265V00271V
28058004818902050305001.6V001.5V001.9V001.8V001.6V001.6V002.0V003.0V002.8V002.4V002.7V003.3V003.3V003.2V003.5V002.8V002.9V002.3V002.4V003.0V002.9V002.9V002.6V002.8V
28058004838902050305000.2V000.2V-00.9V-02.5V-02.2V-01.7V-01.1V000.4V002.1V006.0V008.7V009.9V011.0V011.9V011.5V010.6V011.2V010.4V009.3V008.1V007.9V007.6V006.3V005.9V
2805800486890205030500047V00044V00051V00061V00060V00060V00060V00054V00047V00042V00041V00039V00036V00034V00034V00038V00038V00042V00046V00051V00054V00058V00063V00060V
2805800487890205030500920V00920V00920V00920V00920V00920V00920V00921V00921V00921V00921V00920V00920V00919V00919V00919V00918V00918V00918V00918V00918V00919V00919V00918V
2805800488890205030500004V00004V00004V00004V00004V00004V00004V00085V00229V00368V00475V00547V00493V00546V00271V00043V00130V00012V00004V00004V00004V00004V00004V00004V
28058004898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805800414080205030500013V00026V00025V00039V00036V00038V00039V00057V00053V00061V00067V00071V00073V00075V00076V00067V00069V00062V00053V00048V00050V00057V00051R00054R
28058004305902050305000.9V000.8V000.8V001.1V001.8V001.3V000.6V000.9V000.7V000.5V000.5V000.5V000.5V000.5V000.4V000.3V000.3V000.4V000.5V000.5V000.4V000.4V000.3V000.3V
28058004205902050305003.9V005.7V003.0V011.5V011.4V012.3V003.0V003.1V002.3V000.6V000.9V001.3V001.0V000.6V000.6V000.6V000.5V000.6V000.9V001.5V001.1V000.5V001.6V000.6V
28058004315902050305001.9V002.6V001.2V004.9V003.6V005.0V001.1V001.8V001.5V000.2V000.3V000.4V000.4V000.2V000.2V000.2V000.2V000.2V000.4V000.6V000.4V000.3V000.5V000.3V
2805800442020205030510.53V10.36V10.82V10.44V10.55V10.43V10.30V10.17V09.74V09.31V08.94V08.76V08.56V08.59V08.53V09.13V09.30V09.24V09.57V09.75V09.76V09.74V09.82V09.72V
2805800444020205030500.32V00.18V00.20V00.17V00.25V00.22V00.07V00.05V00.05V00.32V00.78V01.18V01.40V01.44V01.51V00.83V00.59V00.74V00.38V00.27V00.24V00.23V00.25V00.26V
2809200501380205030500007V00004V00002V00002V00003V00004V00001V00002V00008V00003R00004V00003V00004V00007V00004V00004V00003V00003V00004V00008V00008V00004V00004V00003V
2809200507080205030500054V00053V00021V00010V00010V00017V00025V00016V00008V00004R00004V00004V00003V00003V00002V00003V00002V00003V00006V00005V00003V00003V00003V00003V
2809200508080205030500040V00039V00029V00017V00019V00024V00028V00020V00010V00005R00005V00005V00004V00004V00005V00005V00004V00005V00013V00011V00008V00007V00006V00007V
28092005064802050305000.9V000.8V000.6V000.6V000.7V000.7V000.7V000.5V000.5V000.5R000.4V000.5V000.5V000.5V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V000.4V
2809200510490205030500030V00024V00024V00019V00013V00017V00019V00022V00018V00013V00010V00007V00007V00006V00002V00001V00005V00007V00007V00009V00013V00011V00008V00009V
2809200514060205030500011V00004V00010V00030V00022V00016V00016V00037V00052V00064R00071V00071V00075V00074V00074V00074V00073V00068V00054V00056V00059V00060V00060V00056V
2809200582890205030500180V00199V00231V00179V00090V00220V00224V00219V00227V00249V00282V00293V00271V00276V00281V00276V00270V00271V00270V00253V00258V00270V00258V00236V
28092005818902050305001.8V001.6V001.9V001.4V001.5V001.3V001.7V002.4V002.6V004.4V005.3V005.6V006.3V006.0V005.4V005.9V006.4V005.8V004.4V004.2V004.8V005.6V005.8V003.4V
28092005838902050305-00.6V-01.7V-02.6V-02.3V-02.5V-02.5V-02.5V-00.2V002.0V005.7V007.7V009.1V010.2V010.7V010.8V010.9V011.2V010.3V009.0V008.1V008.1V007.6V006.9V005.5V
2809200586890205030500045V00051V00053V00053V00056V00056V00058V00050V00042V00039V00038V00036V00034V00032V00032V00033V00034V00037V00041V00044V00049V00050V00049V00053V
2809200587890205030500922V00922V00922V00922V00922V00922V00922V00922V00923V00923V00923V00923V00922V00921V00921V00921V00921V00920V00921V00921V00921V00921V00921V00921V
2809200588890205030500004V00004V00004V00004V00004V00004V00004V00101V00295V00481V00621V00677V00746V00588V00320V00292V00281V00048V00004V00004V00004V00004V00004V00004V
28092005898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2814800401380205030500003V00003V00004V00004V00004V00004V00006V00009V00011V00006V00008V00011V00008V00004V00004V00004V00004V00004V00004V00006V00005V00004V00006V00004V
2814800407080205030500004V00001V00002V00004V00006V00004V00033V00025V00016V00010V00018V00027V00013V00003V00003V00004V00004V00003V00002V00003V00003V00003R00005V00002V
2814800408080205030500018V00006V00024V00040V00041V00040V00049V00039V00024V00015V00030V00044V00026V00004V00003V00004V00009V00011V00027V00041V00042V00042R00052V00037V
28148004064802050305*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N
2814800410490205030500022V00024V00018V00020V00028V00030V00042V00047V00042V00036V00030V00036V00058V00027V00022V00024V00028V00019V00021V00021V00025V00024V00026V00031V
2814800414060205030500064V00075V00046V00026V00018V00015V00011V00020V00042V00061V00058V00052V00074V00092V00091V00089V00084V00079V00062V00047V00045V00041R00031V00040V
2814800482890205030500016V00029V00174V00270V00169V00143V00153V00131V00152V00192V00237V00237V00220V00318V00096V00308V00282V00272V00282V00293V00299V00304V00241V00171V
28148004818902050305003.8V004.0V002.2V001.1V001.5V001.1V001.8V002.2V002.1V002.6V003.0V003.1V003.5V004.2V006.8V006.0V005.9V004.4V004.0V003.2V002.8V002.5V002.4V001.8V
28148004838902050305-01.4V-01.1V-02.5V-03.1V-03.9V-04.2V-04.4V-03.2V-00.5V001.9V004.5V007.6V010.6V010.9V010.8V011.6V011.1V010.4V009.6V008.9V008.4V007.8V007.0V005.9V
2814800486890205030500052V00050V00056V00059V00063V00064V00065V00063V00055V00047V00042V00037V00034V00035V00035V00035V00038V00037V00041V00043V00046V00048V00048V00049V
2814800487890205030500931V00931V00931V00931V00931V00931V00931V00932V00932V00932V00932V00931V00930V00929V00929V00928V00928V00928V00928V00928V00928V00929V00929V00929V
2814800488890205030500004V00004V00004V00004V00004V00004V00004V00062V00227V00386V00524V00608V00668V00531V00350V00425V00239V00026V00004V00004V00004V00004V00004V00004V
28148004898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
28148004305902050305000.1V000.1V000.1V000.2V000.3V000.2V000.2V000.2V000.2V000.1V000.2V000.2V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.1V000.2V
28148004205902050305000.2V000.1V000.2V000.3V000.6V000.8V001.3V000.9V000.8V000.4V000.5V000.5V000.3V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.2V000.1V000.2V000.2V
28148004315902050305000.2V000.2V000.8V000.6V001.3V001.7V002.6V001.9V001.2V000.9V001.1V001.1V001.4V000.3V000.1V000.2V000.2V000.3V000.3V000.2V000.6V000.2V000.5V000.8V
2814800442020205030506.27V06.27V06.78V07.30V07.89V08.33V08.30V07.72V07.66V06.90V06.77V07.46V06.47V05.88V05.87V05.87V05.81V05.77V05.84V05.86V06.05V06.17R06.35V06.40V
2814800444020205030500.93V00.89V01.17V01.58V01.72V01.77V01.68V01.45V01.36V00.99V01.07V01.17V00.93V00.79V00.78V00.78V00.79V00.79V00.81V00.86V00.88V00.90R01.01V01.01V
2800700101380205030500004V00005V00005V00005V00006V00005V00004V00003V00004V00006R00004V00004V00004R00004V00002V00003V00004V00005V00007V00009V00009V00007V00005V00004V
2800700107080205030500024V00031V00027V00004V00042V00015V00014V00009V00014V00014R00013V00016V00015R00013V00009V00010V00012V00020V00025V00029V00016V00015V00008V00012V
2800700108080205030500069V00067V00066V00046V00065V00056V00059V00046V00046V00041R00035V00042V00041R00040V00030V00036V00043V00058V00069V00071V00059V00056V00045V00050V
28007001064802050305000.7V000.8V000.7V000.6V000.8V000.6V000.6V000.6V000.6V000.5R000.4V000.5V000.4R000.5V000.3V000.4V000.5V000.7V000.8V000.7V000.6V000.6V000.4V000.5V
2800700110490205030500029V00022V00024V00022V00022V00031V00024V00026V00024V00024V00026V00026V00021V00020V00026V00026V00019V00022V00026V00020V00024V00024V00023V00021V
2800700114060205030500020V00025V00022V00037V00019V00025V00024V00044V00043V00051R00064V00060V00063R00065V00075V00064V00056V00037V00026V00023V00033V00032V00040V00033V
2800700182890205030500316V00288V00243V00220V00322V00308V00203V00299V00283V00283V00316V00315V00316V00316V00316V00316V00316V00315V00316V00310V00315V00316V00316V00316V
28007001818902050305001.8V001.0V001.6V001.6V001.1V001.2V001.5V001.8V002.1V003.2V006.5V004.8V004.9V006.0V006.2V004.3V004.9V004.1V003.3V002.4V003.1V002.8V002.9V002.6V
28007001838902050305-00.4V-00.1V-00.5V-00.8V-01.0V-00.8V-00.6V000.0V002.8V005.5V007.1V008.9V010.3V010.9V011.1V010.5V010.8V010.0V008.9V008.0V008.0V007.3V006.6V005.8V
2800700186890205030500044V00042V00046V00047V00048V00048V00053V00051V00044V00043V00044V00041V00038V00036V00036V00038V00039V00042V00045V00049V00053V00055V00054V00055V
2800700187890205030500917V00917V00917V00917V00917V00917V00917V00918V00918V00918V00918V00918V00917V00916V00916V00916V00915V00915V00915V00916V00916V00916V00916V00916V
2800700188890205030500004V00004V00004V00004V00004V00004V00004V00009V00197V00344V00469V00561V00597V00590V00461V00191V00150V00028V00004V00004V00004V00004V00004V00004V
28007001898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804900101380205030500007V00006V00008V00008V00008V00009V00011V00010V00010V00010V00014V00015V00009V00008V00007V00007V00008V00008V00010V00013V00013V00012V00011V00010V
2804900107080205030500001V00001V00008V00012V00007V00019V00069V00045V00023V00025V00034V00025V00004V00002V00002V00001V00001V00001V00002V00005V00002V00001V00003V00014V
2804900108080205030500022V00016V00043V00057V00060V00070V00071V00059V00050V00051V00066V00058V00028V00020V00017V00016V00019V00024V00034V00058V00049V00044V00057V00066V
28049001064802050305000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.1V000.2V000.2V000.1V000.1V000.1V000.1V000.1V000.1V000.2V000.3V000.2V000.3V000.3V000.3V000.3V000.3V
2804900110490205030500012V00014V00015V00028V00021V00022V00019V00033V00033V00028V00038V00038V00026V*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N*****N
2804900114060205030500071V00077V00041V00023V00019V00011V00008V00016V00030V00032V00032V00046V00072V00081V00082V00082V00078V00072V00059V00037V00046V00044V00028V00017V
2804900182890205030500024V00034V00075V00227V00230V00185V00142V00146V00192V00148V00121V00286V00300V00316V00316V00315V00314V00315V00299V00294V00309V00316V00310V00293V
28049001818902050305003.7V003.1V001.8V001.5V001.9V001.6V002.0V002.5V002.8V002.1V002.1V003.2V004.1V004.9V005.8V007.0V005.6V004.8V004.5V004.0V004.1V003.3V002.2V001.7V
28049001838902050305-00.7V-00.9V-01.4V-02.0V-02.1V-02.5V-03.2V-02.9V-00.6V002.4V005.7V008.6V010.7V011.5V012.2V011.3V011.0V010.8V009.8V009.4V009.1V008.7V007.6V006.3V
2804900186890205030500050V00050V00053V00055V00055V00056V00061V00063V00056V00049V00040V00037V00035V00034V00034V00037V00039V00038V00041V00043V00045V00047V00050V00053V
2804900187890205030500927V00927V00926V00926V00927V00927V00927V00927V00928V00927V00927V00927V00926V00925V00924V00924V00924V00924V00924V00924V00924V00925V00924V00924V
2804900188890205030500004V00004V00004V00004V00004V00004V00004V00071V00240V00400V00516V00605V00649V00649V00702V00347V00173V00042V00004V00004V00004V00004V00004V00004V
28049001898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2805100107080205030500002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002V00002R00002R00002V00002V00002V
2805100108080205030500007V00006V00006V00005V00004V00005V00005V00007V00006V00007V00007V00007V00007V00007V00006V00007V00007V00009V00013V00013R00009R00009V00008V00008V
28051001104902050305013.3V017.0V021.0V018.5V010.3V010.0V008.0V007.0V008.0V008.0V011.0V011.0V015.5V009.0V003.0V005.0V015.8V014.0V013.0V021.8V024.0V022.0V015.3V017.0V
2805100114060205030500065V00069V00070V00077V00075V00076V00076V00074V00075V00074V00077V00078V00079V00080V00081V00082V00081V00078V00071V00070R00071R00067V00067V00066V
28051001828902050305272.8V270.3V286.5V277.8V299.5V285.5V286.8V265.0V259.8V298.8V297.8V293.3V285.8V294.0V298.8V294.8V294.0V292.8V290.3V282.3V290.3V294.5V313.5V313.0V
28051001818902050305003.5V002.7V005.9V005.2V005.5V006.2V005.9V004.5V003.9V004.7V004.3V005.5V005.2V005.3V005.7V006.6V006.6V005.3V003.9V004.4V005.0V005.1V006.5V006.3V
28051001838902050305-00.8V-01.0V-00.5V000.0V000.3V000.9V001.4V002.9V004.6V006.6V008.2V008.9V010.2V010.9V011.3V011.2V010.9V010.1V009.1V008.5V008.1V007.4V006.7V005.8V
28051001868902050305048.1V046.0V050.5V051.0V053.8V046.5V038.3V041.2V043.8V044.8V043.9V042.5V039.3V038.3V037.8V039.3V039.8V042.6V045.8V049.7V055.2V054.1V052.5V057.3V
2805100187890205030500923V00924V00923V00923V00923V00924V00924V00924V00925V00925V00924V00924V00923V00922V00922V00921V00921V00921V00921V00921V00922V00922V00922V00922V
2805100188890205030500004V00004V00004V00004V00004V00004V00004V00095V00279V00424V00535V00519V00736V00703V00644V00421V00234V00029V00004V00004V00004V00004V00004V00004V
28051001898902050305000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V000.0V
2804500207080205030500002V00002V00003V00002V00006V00007V00007V00018V00012V00012V00002V00003V00002V00002V00003V00003V00002V00001R00001V00001V00010V00026V00002V00003V
